iter	RMSE
0	8.697903947
1	8.54780023
2	8.392532767
3	8.246909749
4	8.110175543
5	7.975791351
6	7.841940316
7	7.719994917
8	7.594753872
9	7.48338321
10	7.370813438
11	7.242171442
12	7.136281342
13	7.023852208
14	6.91425368
15	6.807132736
16	6.707499016
17	6.607651607
18	6.517747853
19	6.41899422
20	6.336773204
21	6.246805335
22	6.172976727
23	6.094784434
24	6.023548131
25	5.954379072
26	5.892098988
27	5.810329464
28	5.738714801
29	5.66047999
30	5.58637169
31	5.523641453
32	5.457601007
33	5.388701817
34	5.323814362
35	5.264777366
36	5.202970887
37	5.139378844
38	5.077527055
39	5.010491711
40	4.967634566
41	4.914598771
42	4.861740457
43	4.807374599
44	4.755597677
45	4.709275792
46	4.653836073
47	4.610325537
48	4.569871128
49	4.522218811
50	4.479360546
51	4.435539884
52	4.398054479
53	4.359862936
54	4.32732092
55	4.291727078
56	4.251049646
57	4.213349562
58	4.184722565
59	4.152425416
60	4.117669003
61	4.084407378
62	4.054271879
63	4.023754297
64	3.993911263
65	3.961703912
66	3.93010184
67	3.897650527
68	3.868883227
69	3.842433928
70	3.805715972
71	3.781324918
72	3.753232169
73	3.723877334
74	3.697177302
75	3.674708745
76	3.650458315
77	3.628088842
78	3.611958639
79	3.589779604
80	3.560872148
81	3.538139279
82	3.512532691
83	3.489028508
84	3.467405425
85	3.44484919
86	3.419478746
87	3.401383599
88	3.381864601
89	3.357868606
90	3.338905782
91	3.321432264
92	3.305526158
93	3.282864705
94	3.268931316
95	3.244524751
96	3.232049924
97	3.217304212
98	3.196323475
99	3.177916746
100	3.165504572
101	3.151346573
102	3.128792024
103	3.112363869
104	3.101612048
105	3.088321509
106	3.074825554
107	3.058455724
108	3.041908739
109	3.03153442
110	3.01973687
111	3.008787992
112	2.99366866
113	2.97921167
114	2.961605605
115	2.951939948
116	2.939349459
117	2.928079903
118	2.914657105
119	2.90291743
120	2.894062521
121	2.8805107
122	2.872601445
123	2.865601977
124	2.860942087
125	2.851149727
126	2.841445926
127	2.828926096
128	2.821542497
129	2.811894715
130	2.80287095
131	2.794645983
132	2.785260553
133	2.772826022
134	2.761484262
135	2.75375975
136	2.745020787
137	2.737640513
138	2.72966751
139	2.722121014
140	2.714101014
141	2.706260353
142	2.696183413
143	2.682522709
144	2.669465079
145	2.661886565
146	2.653451835
147	2.644201382
148	2.635419435
149	2.623792997
150	2.612396563
151	2.607444539
152	2.600205037
153	2.587922605
154	2.58366003
155	2.577338859
156	2.574759581
157	2.569582326
158	2.561837856
159	2.553651804
160	2.545464783
161	2.5384563
162	2.531231108
163	2.523318378
164	2.509027058
165	2.495410766
166	2.489788708
167	2.481063624
168	2.471385524
169	2.463361902
170	2.450887083
171	2.446900206
172	2.438963941
173	2.432228417
174	2.4222457
175	2.410275208
176	2.398658408
177	2.392536463
178	2.388736371
179	2.381042117
180	2.370484487
181	2.364267061
182	2.355821895
183	2.349717681
184	2.346339257
185	2.340353765
186	2.333742181
187	2.327721518
188	2.323631571
189	2.317337901
190	2.313577892
191	2.304773086
192	2.299927793
193	2.293921974
194	2.284286115
195	2.27242674
196	2.268224273
197	2.262415587
198	2.256780387
199	2.252688702
200	2.248675345
201	2.240399855
202	2.231337669
203	2.224910937
204	2.214747683
205	2.208762548
206	2.199854826
207	2.19459166
208	2.191651215
209	2.18549381
210	2.18007152
211	2.175162943
212	2.167526614
213	2.163055851
214	2.157728743
215	2.153931977
216	2.147008822
217	2.141223428
218	2.132105616
219	2.126155499
220	2.12339087
221	2.118276205
222	2.111779512
223	2.108823413
224	2.102675603
225	2.100257847
226	2.09793253
227	2.090382744
228	2.084280714
229	2.076837709
230	2.071331799
231	2.063011251
232	2.058023504
233	2.055618822
234	2.053074455
235	2.051512273
236	2.047377649
237	2.042407882
238	2.037142311
239	2.032858277
240	2.027464224
241	2.024757911
242	2.020366105
243	2.016163676
244	2.011921956
245	2.009179546
246	2.005537122
247	1.997547282
248	1.995407555
249	1.992222873
250	1.989785202
251	1.983442333
252	1.976130328
253	1.975283584
254	1.969424711
255	1.966933119
256	1.961206114
257	1.95912154
258	1.952722431
259	1.948030167
260	1.94580982
261	1.938620264
262	1.930410798
263	1.924601557
264	1.917499559
265	1.91457702
266	1.910399505
267	1.903095715
268	1.899730884
269	1.892360625
270	1.88616135
271	1.880912177
272	1.876707464
273	1.873499965
274	1.868151993
275	1.861372625
276	1.857190859
277	1.850741556
278	1.847904032
279	1.841431402
280	1.84001626
281	1.837021419
282	1.830746286
283	1.825975874
284	1.823575863
285	1.818262113
286	1.815366894
287	1.811591646
288	1.810603403
289	1.805362046
290	1.802557283
291	1.797580671
292	1.795824398
293	1.793322965
294	1.786800469
295	1.780820658
296	1.774739501
297	1.770010795
298	1.765911076
299	1.759653966
300	1.757546541
301	1.753629762
302	1.746745533
303	1.743688628
304	1.737733863
305	1.73567467
306	1.731741389
307	1.727917828
308	1.724906252
309	1.719519279
310	1.715371022
311	1.711425764
312	1.708685724
313	1.707499143
314	1.703427167
315	1.69758831
316	1.69278234
317	1.688535007
318	1.68438826
319	1.679791334
320	1.677740192
321	1.674248242
322	1.671322533
323	1.668163871
324	1.663332816
325	1.659289157
326	1.654623032
327	1.650865331
328	1.645341
329	1.641646112
330	1.639703854
331	1.63623741
332	1.632910785
333	1.628868517
334	1.627030389
335	1.621615404
336	1.618214158
337	1.61429569
338	1.609697838
339	1.606105566
340	1.601147079
341	1.599895411
342	1.596216914
343	1.592052746
344	1.590055542
345	1.587172489
346	1.584814916
347	1.582502996
348	1.578830336
349	1.573880526
350	1.571432991
351	1.566805365
352	1.56586824
353	1.56104474
354	1.560027881
355	1.557083306
356	1.5545014
357	1.55327569
358	1.549710713
359	1.547212811
360	1.54429682
361	1.54104695
362	1.540202537
363	1.537158782
364	1.536080569
365	1.532357933
366	1.529381908
367	1.526091988
368	1.522550425
369	1.519554473
370	1.518595914
371	1.516203397
372	1.512325839
373	1.51013663
374	1.509498272
375	1.505644986
376	1.50125844
377	1.499962961
378	1.497414532
379	1.494476078
380	1.492140863
381	1.487975553
382	1.484066816
383	1.482127644
384	1.478523318
385	1.474846089
386	1.472147134
387	1.471423231
388	1.469234277
389	1.468012273
390	1.465423744
391	1.462271132
392	1.46170079
393	1.459169328
394	1.455521836
395	1.452092483
396	1.449379084
397	1.44646459
398	1.443812338
399	1.439577686
400	1.436432136
401	1.434353868
402	1.428537929
403	1.426661841
404	1.42448648
405	1.422472373
406	1.421805828
407	1.419650048
408	1.417551583
409	1.414696212
410	1.412365124
411	1.40921593
412	1.408407061
413	1.407553457
414	1.404387259
415	1.399878121
416	1.396871874
417	1.393407784
418	1.390796524
419	1.386566395
420	1.384197637
421	1.382213091
422	1.379844983
423	1.377125381
424	1.374598185
425	1.372564323
426	1.370067647
427	1.369482397
428	1.367949339
429	1.366071718
430	1.361544349
431	1.361161609
432	1.358543118
433	1.357983084
434	1.356396683
435	1.354146227
436	1.352610548
437	1.350310057
438	1.347779903
439	1.345037826
440	1.343980501
441	1.342167288
442	1.340381205
443	1.339239293
444	1.336844887
445	1.33447848
446	1.330780507
447	1.326618215
448	1.323236879
449	1.318824891
450	1.316013095
451	1.313027229
452	1.310769649
453	1.308359113
454	1.30413603
455	1.299451562
456	1.295312698
457	1.293394886
458	1.292022006
459	1.289693414
460	1.286825119
461	1.282557159
462	1.282017401
463	1.279257996
464	1.275310502
465	1.271796288
466	1.267948742
467	1.26637901
468	1.263625983
469	1.261094397
470	1.259024524
471	1.256088799
472	1.254451054
473	1.252985561
474	1.250819424
475	1.246569866
476	1.244157808
477	1.241520853
478	1.238888714
479	1.238206575
480	1.237665976
481	1.232991009
