iter	Passed	Remaining
0	1	1622
1	5	2654
2	7	2401
3	10	2639
4	12	2413
5	14	2430
6	16	2289
7	20	2497
8	23	2540
9	24	2464
10	26	2393
11	29	2409
12	30	2326
13	32	2321
14	35	2314
15	36	2270
16	38	2227
17	41	2247
18	42	2203
19	44	2171
20	47	2206
21	49	2200
22	50	2164
23	52	2146
24	54	2133
25	56	2129
26	58	2122
27	60	2107
28	62	2088
29	64	2074
30	66	2078
31	68	2078
32	71	2093
33	73	2096
34	75	2078
35	77	2084
36	79	2081
37	81	2067
38	83	2058
39	84	2035
40	86	2014
41	88	2008
42	89	1990
43	90	1973
44	92	1963
45	94	1955
46	97	1980
47	99	1967
48	101	1972
49	103	1961
50	106	1977
51	107	1967
52	132	2363
53	134	2352
54	136	2352
55	139	2349
56	148	2458
57	151	2460
58	155	2477
59	157	2466
60	160	2472
61	163	2470
62	166	2479
63	178	2609
64	182	2624
65	183	2597
66	186	2600
67	194	2663
68	196	2645
69	197	2630
70	200	2623
71	202	2608
72	203	2589
73	205	2571
74	207	2556
75	210	2553
76	211	2536
77	213	2518
78	215	2511
79	222	2560
80	225	2562
81	227	2543
82	229	2539
83	231	2520
84	232	2505
85	234	2490
86	236	2480
87	239	2480
88	240	2465
89	243	2466
90	245	2450
91	246	2434
92	248	2422
93	249	2408
94	251	2393
95	252	2378
96	253	2362
97	255	2351
98	256	2338
99	258	2324
100	259	2312
101	261	2303
102	262	2290
103	264	2279
104	266	2267
105	267	2259
106	269	2249
107	271	2240
108	272	2229
109	274	2218
110	276	2214
111	277	2203
112	279	2191
113	281	2184
114	282	2175
115	285	2175
116	287	2172
117	290	2172
118	292	2163
119	295	2164
120	297	2163
121	299	2156
122	300	2146
123	302	2139
124	303	2124
125	305	2117
126	307	2111
127	308	2100
128	310	2093
129	311	2085
130	313	2077
131	314	2068
132	316	2063
133	318	2055
134	320	2054
135	322	2047
136	328	2069
137	332	2074
138	333	2065
139	336	2066
140	340	2076
141	342	2071
142	344	2065
143	346	2058
144	349	2057
145	350	2049
146	351	2042
147	353	2035
148	355	2028
149	357	2028
150	359	2022
151	364	2032
152	365	2024
153	367	2019
154	369	2012
155	370	2004
156	372	1999
157	374	1994
158	375	1987
159	381	2002
160	382	1994
161	384	1988
162	385	1980
163	391	1997
164	393	1991
165	394	1984
166	396	1977
167	399	1980
168	401	1975
169	404	1977
170	406	1971
171	409	1970
172	411	1964
173	412	1958
174	414	1954
175	417	1954
176	419	1948
177	420	1942
178	422	1937
179	424	1932
180	426	1928
181	428	1927
182	431	1926
183	436	1934
184	438	1930
185	440	1925
186	441	1921
187	443	1915
188	448	1922
189	450	1919
190	452	1916
191	460	1938
192	463	1937
193	474	1970
194	476	1965
195	484	1986
196	487	1988
197	495	2006
198	508	2047
199	512	2050
200	516	2054
201	520	2055
202	523	2054
203	528	2063
204	530	2059
205	541	2089
206	544	2085
207	547	2086
208	550	2082
209	556	2092
210	559	2090
211	564	2097
212	574	2120
213	577	2120
214	585	2137
215	590	2143
216	598	2158
217	620	2225
218	626	2233
219	628	2229
220	632	2231
221	636	2230
222	637	2222
223	640	2217
224	644	2220
225	662	2268
226	663	2260
227	665	2251
228	668	2250
229	671	2247
230	673	2242
231	676	2241
232	691	2275
233	722	2364
234	725	2361
235	735	2379
236	737	2374
237	739	2366
238	740	2358
239	742	2351
240	744	2343
241	746	2339
242	748	2331
243	751	2327
244	752	2320
245	755	2315
246	760	2318
247	761	2310
248	762	2300
249	764	2293
250	765	2284
251	769	2285
252	770	2276
253	774	2275
254	782	2284
255	784	2279
256	785	2271
257	787	2264
258	788	2256
259	790	2248
260	791	2242
261	794	2238
262	797	2234
263	799	2228
264	800	2221
265	802	2215
266	805	2210
267	807	2204
268	808	2197
269	809	2189
270	813	2189
271	815	2181
272	817	2177
273	818	2169
274	822	2169
275	824	2162
276	826	2156
277	827	2150
278	831	2147
279	835	2148
280	839	2147
281	843	2147
282	846	2143
283	849	2141
284	851	2136
285	858	2144
286	862	2142
287	865	2140
288	870	2142
289	873	2138
290	875	2132
291	877	2128
292	880	2124
293	882	2118
294	886	2117
295	888	2112
296	890	2107
297	892	2101
298	893	2094
299	894	2087
300	896	2082
301	898	2076
302	900	2072
303	903	2067
304	904	2061
305	906	2056
306	909	2053
307	912	2049
308	914	2044
309	916	2039
310	917	2033
311	920	2030
312	922	2024
313	924	2019
314	925	2013
315	928	2009
316	931	2007
317	935	2005
318	937	2001
319	939	1995
320	940	1990
321	942	1984
322	944	1979
323	945	1973
324	947	1968
325	949	1962
326	954	1964
327	956	1958
328	958	1953
329	959	1948
330	962	1945
331	964	1939
332	965	1933
333	966	1927
334	968	1922
335	969	1916
336	972	1912
337	973	1906
338	974	1900
339	990	1923
340	993	1920
341	995	1915
342	1001	1918
343	1003	1914
344	1006	1910
345	1013	1916
346	1017	1914
347	1022	1915
348	1025	1912
349	1027	1907
350	1028	1901
351	1030	1897
352	1031	1891
353	1034	1887
354	1035	1881
355	1037	1876
356	1038	1870
357	1040	1865
358	1042	1861
359	1043	1855
360	1045	1851
361	1048	1847
362	1056	1853
363	1059	1850
364	1061	1845
365	1063	1842
366	1065	1838
367	1067	1833
368	1070	1830
369	1072	1826
370	1074	1822
371	1076	1816
372	1078	1812
373	1085	1816
374	1089	1815
375	1091	1810
376	1093	1806
377	1094	1801
378	1096	1796
379	1098	1793
380	1100	1787
381	1101	1782
382	1103	1777
383	1104	1772
384	1105	1766
385	1107	1761
386	1108	1756
387	1110	1751
388	1112	1747
389	1115	1745
390	1117	1740
391	1122	1740
392	1123	1735
393	1125	1730
394	1127	1726
395	1129	1722
396	1130	1717
397	1131	1712
398	1134	1708
399	1135	1703
400	1137	1698
401	1140	1697
402	1143	1694
403	1147	1692
404	1151	1691
405	1157	1694
406	1163	1694
407	1171	1699
408	1174	1697
409	1180	1698
410	1182	1694
411	1184	1691
412	1187	1687
413	1190	1684
414	1193	1681
415	1194	1676
416	1201	1680
417	1205	1678
418	1207	1674
419	1211	1672
420	1220	1679
421	1222	1675
422	1224	1669
423	1226	1665
424	1229	1663
425	1231	1658
426	1234	1656
427	1237	1654
428	1239	1649
429	1243	1648
430	1245	1644
431	1247	1639
432	1248	1634
433	1250	1630
434	1253	1627
435	1254	1623
436	1256	1618
437	1260	1617
438	1262	1613
439	1264	1609
440	1266	1605
441	1270	1603
442	1273	1600
443	1274	1596
444	1276	1591
445	1278	1587
446	1280	1584
447	1285	1583
448	1286	1579
449	1288	1574
450	1294	1575
451	1296	1571
452	1299	1568
453	1306	1570
454	1311	1571
455	1313	1567
456	1322	1571
457	1325	1568
458	1326	1563
459	1329	1560
460	1331	1556
461	1332	1551
462	1336	1550
463	1341	1549
464	1343	1545
465	1349	1546
466	1353	1544
467	1356	1541
468	1361	1541
469	1362	1536
470	1367	1535
471	1368	1531
472	1372	1528
473	1373	1524
474	1376	1521
475	1379	1518
476	1381	1515
477	1384	1512
478	1387	1509
479	1390	1506
480	1394	1505
481	1397	1502
482	1404	1502
483	1408	1501
484	1409	1497
485	1411	1493
486	1415	1491
487	1417	1487
488	1420	1484
489	1424	1482
490	1432	1484
491	1436	1482
492	1437	1478
493	1443	1478
494	1447	1476
495	1449	1472
496	1461	1479
497	1465	1476
498	1467	1473
499	1473	1473
500	1477	1471
501	1479	1468
502	1487	1469
503	1489	1466
504	1498	1468
505	1500	1464
506	1503	1461
507	1506	1459
508	1511	1458
509	1547	1486
510	1556	1489
511	1559	1486
512	1567	1488
513	1571	1485
514	1573	1481
515	1575	1478
516	1579	1475
517	1583	1473
518	1586	1470
519	1590	1468
520	1591	1463
521	1594	1459
522	1600	1459
523	1604	1457
524	1610	1456
525	1613	1454
526	1615	1449
527	1617	1445
528	1619	1442
529	1621	1437
530	1623	1433
531	1625	1429
532	1628	1426
533	1629	1422
534	1631	1418
535	1634	1415
536	1640	1414
537	1642	1410
538	1649	1410
539	1652	1407
540	1654	1403
541	1657	1400
542	1658	1396
543	1660	1391
544	1661	1387
545	1664	1383
546	1670	1383
547	1673	1380
548	1674	1375
549	1676	1371
550	1678	1367
551	1680	1363
552	1681	1359
553	1683	1355
554	1685	1351
555	1686	1347
556	1688	1343
557	1691	1339
558	1694	1336
559	1696	1332
560	1698	1329
561	1702	1326
562	1704	1322
563	1705	1318
564	1708	1315
565	1711	1312
566	1713	1308
567	1715	1304
568	1718	1301
569	1721	1298
570	1724	1295
571	1725	1291
572	1727	1287
573	1730	1283
574	1731	1279
575	1733	1276
576	1735	1272
577	1738	1269
578	1740	1265
579	1742	1262
580	1744	1258
581	1749	1256
582	1753	1253
583	1755	1250
584	1756	1246
585	1759	1243
586	1760	1238
587	1762	1235
588	1765	1231
589	1769	1229
590	1771	1226
591	1776	1224
592	1778	1220
593	1781	1217
594	1783	1214
595	1788	1212
596	1791	1209
597	1794	1206
598	1799	1204
599	1802	1201
600	1806	1199
601	1808	1195
602	1814	1194
603	1818	1192
604	1830	1194
605	1831	1190
606	1838	1190
607	1840	1186
608	1842	1182
609	1846	1180
610	1847	1176
611	1849	1172
612	1855	1171
613	1858	1168
614	1860	1164
615	1863	1161
616	1864	1157
617	1871	1157
618	1875	1154
619	1886	1156
620	1888	1152
621	1890	1148
622	1893	1146
623	1896	1142
624	1900	1140
625	1902	1136
626	1905	1133
627	1912	1132
628	1914	1129
629	1917	1126
630	1919	1122
631	1922	1119
632	1928	1117
633	1932	1115
634	1938	1114
635	1940	1110
636	1942	1107
637	1951	1107
638	1953	1103
639	1955	1099
640	1958	1096
641	1961	1093
642	1966	1091
643	1969	1088
644	1977	1088
645	1978	1084
646	1980	1080
647	1985	1078
648	1987	1074
649	1990	1071
650	1999	1072
651	2002	1068
652	2005	1065
653	2008	1062
654	2011	1059
655	2013	1055
656	2018	1053
657	2022	1051
658	2024	1047
659	2028	1045
660	2030	1041
661	2034	1038
662	2047	1040
663	2049	1037
664	2051	1033
665	2054	1030
666	2055	1026
667	2063	1025
668	2065	1022
669	2067	1018
670	2069	1014
671	2072	1011
672	2074	1008
673	2077	1004
674	2080	1001
675	2087	1000
676	2089	997
677	2091	993
678	2094	989
679	2096	986
680	2099	983
681	2105	981
682	2118	983
683	2149	992
684	2158	992
685	2161	989
686	2164	986
687	2168	983
688	2169	979
689	2181	980
690	2186	977
691	2187	973
692	2191	970
693	2194	967
694	2201	965
695	2203	962
